A_qso chisq
8.656131 1.593089
1.322540 1.490031
3.823311 1.957428
0.520660 0.958281
3.120255 2.617425
2.805913 0.851867
4.380960 1.172963
2.536773 0.917860
1.605120 1.071625
3.468848 1.485022
0.553748 1.294014
2.199611 1.600955
0.389908 0.985235
2.105818 1.197812
1.846511 0.898465
3.018395 0.865224
1.944132 1.867349
0.777467 1.000347
0.956444 1.147670
3.586185 0.690366
1.071307 0.965537
2.356431 0.813306
7.163221 0.842364
1.548184 1.125829
3.677425 0.679708
1.200987 2.157519
4.438359 1.199500
0.813781 1.151795
1.792533 0.989969
1.595648 1.291141
0.961917 1.361840
0.420080 1.057641
3.860970 1.178325
12.465226 0.826033
1.028180 1.420254
0.480350 1.165718
1.408055 0.989467
3.389294 1.209229
0.440484 1.957719
2.454855 2.778064
0.904632 1.115080
0.533633 0.998819
0.910930 1.579082
0.996952 0.927649
1.530194 1.310441
2.326409 1.205459
1.687127 1.023685
7.289433 1.163470
1.124978 0.907178
7.835674 1.236128
0.792144 1.122750
2.074178 1.934680
0.565845 1.061507
0.475490 1.547277
1.575307 1.024781
0.764978 0.979850
0.993212 1.068549
0.600586 1.152608
0.580994 1.062396
1.164265 1.288486
1.675679 1.006809
1.302450 0.860672
0.579822 0.813920
9.699724 1.239923
1.179381 1.225988
0.682814 0.831143
0.676313 1.031747
1.659676 1.713773
1.144124 1.261393
2.735223 0.849129
1.282229 0.984582
3.345704 1.258822
0.945709 0.816444
1.014798 0.949614
3.643877 0.795468
5.154682 2.992326
1.846776 0.998915
0.410926 1.044083
1.502130 1.471800
2.200094 1.923436
0.656407 1.211621
2.721472 0.586355
2.349593 1.205566
2.045419 1.661487
1.538263 0.995074
1.266973 1.398777
6.316862 2.980474
3.669606 0.856463
1.021349 1.663522
1.193006 1.207605
0.656035 1.126426
4.389632 1.186661
1.065755 0.917650
0.555802 1.357476
11.097414 0.752613
0.610478 1.194489
0.583938 1.104016
0.243086 1.007926
0.989335 1.088128
0.618168 0.860166
0.143094 1.148519
2.012974 0.991356
7.760777 0.772441
1.186352 0.860539
0.956780 0.990950
6.285659 1.086710
2.610481 1.323117
3.466613 1.094910
8.122690 1.576607
0.595254 1.438654
0.829591 1.343376
9.919111 0.698096
5.881625 1.175680
0.463968 1.103322
1.226416 0.978782
6.752778 0.812557
0.720364 0.897211
2.917466 0.779464
1.145750 1.133292
6.530305 1.619403
2.035557 1.181178
0.629067 1.014794
5.602539 1.829933
3.753384 0.755338
1.347381 1.220881
2.626438 1.889025
1.235270 0.987203
1.477307 1.336375
1.831117 0.822178
0.506101 0.953804
12.344579 1.375079
4.038648 0.775258
0.513409 1.691442
0.908809 0.943950
3.785846 1.137410
1.076115 0.893417
0.758584 1.176745
0.491337 1.281591
7.745965 1.634014
0.767548 1.147902
5.169646 1.240359
2.709139 0.857847
0.748372 1.466902
3.394881 1.255674
2.948126 1.273427
2.953090 1.015074
5.476593 0.727825
6.386315 1.083807
0.648416 1.290710
0.318444 1.881493
6.573087 1.014784
0.488141 1.064773
12.187301 1.722221
2.785875 2.476930
0.646628 0.917959
0.399176 0.963077
1.535218 1.467058
1.336378 0.859959
1.024900 1.011329
0.766266 1.403877
0.808351 1.259133
2.430994 1.010028
1.230774 1.041628
5.398954 0.516405
0.847482 1.143485
7.362608 0.761164
4.746263 2.885587
0.976817 0.851103
1.102763 1.371109
0.906973 1.233494
0.594947 1.474754
10.735198 0.675325
3.230975 0.848694
0.441287 1.101665
1.216129 1.054289
2.169146 1.846604
0.850311 1.035793
7.629249 1.200150
0.382358 0.921351
0.708827 0.954059
14.586211 2.409556
4.404054 1.024922
2.762782 0.944178
1.777754 0.865160
1.574605 1.615459
0.913463 1.054477
2.322633 1.007702
1.269252 0.902164
0.886092 1.559296
3.075307 0.979581
1.602796 1.068185
1.310393 0.993043
3.688351 1.020436
16.054992 1.866300
0.431003 1.339372
2.505620 0.923599
2.279513 1.959796
0.551186 1.185535
1.021321 1.016825
0.477069 1.041353
1.688661 1.264003
20.558134 3.024805
3.768087 0.745297
7.061278 1.332071
0.129869 0.900238
0.244359 1.056004
1.088844 1.003478
1.406553 1.230701
9.160191 1.229317
0.102145 1.118785
0.615578 1.019670
1.071300 1.817136
1.355877 1.211588
1.270801 0.963566
0.875017 1.004983
11.560395 2.131925
3.708240 0.859943
2.901457 1.037910
2.909281 0.844992
1.119706 1.014998
5.124252 0.922860
3.055321 1.086886
0.800406 1.050747
