A_qso chisq
3.640501 0.788507
5.145417 3.076281
1.837995 1.014527
0.415329 1.078815
1.500697 1.475191
2.191881 1.975964
0.655799 1.208049
2.715497 0.607184
2.349019 1.196289
2.048499 1.691424
1.526447 1.009931
1.256149 1.453845
6.310623 2.955441
3.664329 0.837697
1.022182 1.659207
1.190137 1.206750
0.656093 1.137473
4.382505 1.207499
1.061953 0.911494
0.556394 1.362125
11.085380 0.775356
0.610065 1.193342
0.582398 1.104808
0.243941 1.007831
0.982283 1.104087
0.613460 0.861423
0.142715 1.148604
2.010227 0.990195
7.748350 0.771774
1.182020 0.867094
0.949856 1.000367
6.278530 1.087922
2.602855 1.336499
3.461296 1.093734
8.111537 1.580278
0.599683 1.573701
0.831985 1.343325
9.906120 0.681815
5.875124 1.194442
0.464093 1.102134
1.226875 1.000137
6.746490 0.801972
0.716535 0.899163
2.911517 0.796189
1.144070 1.128928
6.522976 1.581391
2.030532 1.180522
0.629581 1.019546
5.594934 1.746611
3.746728 0.780150
1.344556 1.223343
2.629101 1.968849
1.230085 0.986801
1.477552 1.349703
1.826012 0.833580
0.503967 0.953896
12.332907 1.373253
4.034077 0.757812
0.512360 1.721691
0.905953 0.944054
3.777928 1.147367
1.074214 0.902264
0.759977 1.226873
0.492044 1.280149
7.741961 1.589914
0.765538 1.144860
5.163281 1.237893
2.705219 0.869408
0.745378 1.472733
3.389288 1.264742
2.937902 1.294922
2.948892 1.007924
5.468139 0.752819
6.383191 1.073417
0.649188 1.287696
0.320042 1.888468
6.566165 1.028273
0.484927 1.068234
12.163864 1.791778
2.774987 2.555602
0.646433 0.918429
0.398443 0.965373
1.535702 1.450613
1.330559 0.866310
1.021041 1.010576
0.763495 1.394393
0.805805 1.259850
2.423867 1.030075
1.226956 1.048190
5.393527 0.529731
0.849505 1.177568
7.353094 0.786795
4.739116 2.937565
0.971427 0.867165
1.102528 1.363941
0.901363 1.247679
0.593949 1.470210
10.725799 0.658766
3.226055 0.863083
0.445017 1.125383
1.214428 1.056283
2.158331 1.903003
0.844873 1.050706
7.620027 1.230506
0.382062 0.920384
0.708457 0.953805
14.572582 2.485321
4.397295 1.010727
2.758529 0.938601
1.774199 0.866045
1.571794 1.601215
0.907157 1.070638
2.316869 1.024756
1.266716 0.900005
0.876785 1.581178
3.067684 0.983931
1.600310 1.047863
1.308516 0.999957
3.670507 1.016644
16.044022 1.853127
0.430435 1.338376
2.500726 0.931527
2.278164 1.954909
0.551529 1.197629
1.016005 1.022740
0.478015 1.044764
1.681918 1.259777
20.540480 3.057642
3.761370 0.750282
7.054091 1.325487
0.129126 0.900280
0.243656 1.053324
1.086792 1.010747
1.401312 1.251074
9.149829 1.222775
0.101940 1.118466
0.615532 1.025301
1.068117 1.826325
1.355369 1.198811
1.266514 0.958031
0.875857 1.012336
11.550366 2.170418
3.706071 0.851442
2.899620 1.034673
2.905465 0.838364
1.116722 1.030594
5.113911 0.927251
3.051643 1.077073
0.798214 1.051774
